"Guid","CurrencyIsoCode","SBQQ__Active__c","SBQQ__Subscription__c"
007542c6-ca16-4106-98ea-53b41c4b37a6,USD,true,09b9101f-7c1e-427d-8b07-abae9e6e74fe
00a59512-6d4c-49f9-986e-225a8533e043,USD,true,236e5754-ac91-46be-86e6-4b8f72f4b96d
01e025ca-1be9-4a5e-b751-6cddaafaabef,USD,true,4138724f-d5ce-4f90-b23a-69db280cd942
049044d0-7620-492d-8180-6768cbd881f7,USD,true,993a851f-b21b-42e1-a482-302c0e983140
04f8fd04-3ff8-4f96-b94f-6dd16ab4eaf3,USD,true,50df0aed-1e92-4a1f-bc2b-64ba6332787d
051ffe41-a051-4ba0-90e1-3505d38e3ca7,USD,true,0d2df732-8c26-4d72-b72f-653b93aefca6
05db9af0-5ebb-4389-9524-d51291da4f67,USD,true,93df59e4-d10c-40ab-8280-b7eae42ed865
075c8f81-e301-4e48-9fd0-c6ca130a0e94,USD,true,a09e396b-5d9a-44dc-8150-4256795e2388
07977d7e-c4df-4526-8cef-30d9bb7ebfee,USD,true,f35b469a-226e-4fc0-b8f0-5d1bbef81f06
0926295d-5092-4442-9ae3-599207b44817,USD,true,53e0386b-a909-4293-837c-b5fbc4ac5d6d
0a62897e-e778-4926-a8c3-e442d0ab7bfe,USD,true,77914317-6c3b-4850-86ff-ed4ac3ddb6d2
0caee5ed-11b8-48c4-bacd-612302031d0f,USD,true,a5afbfd6-5a64-4a0f-94af-609ce6267962
0db736ab-3ad1-45c7-b625-36e59453c681,USD,true,b2f08cdd-5d46-4efa-b330-479901615542
0dd7ffcc-7019-442b-ab9b-9b8a1e91b980,USD,true,993a851f-b21b-42e1-a482-302c0e983140
0e2b9065-9fd9-450e-b200-1a3e39ce368d,USD,true,d476e145-f132-4b70-9a1f-31133187c83d
0eff7493-fe0a-4be7-9a44-019a93d7ff3a,USD,true,1f076f9a-fe3a-4b5c-83e1-100ffc0c69c8
1106af76-e3dc-4c0e-8173-38877397af23,USD,true,5e7806a9-9516-42a6-9d98-fd4a17d7b96b
11cbfa4f-2c18-462a-a5ed-0b15fa475a94,USD,true,993a851f-b21b-42e1-a482-302c0e983140
140df984-48fc-435c-b328-269ddd35ceae,USD,true,1e5e501c-8a3d-4fa1-b5ba-3324679b49e7
14bba568-1c3a-4c9e-8a96-2fa617e3248d,USD,true,53e0386b-a909-4293-837c-b5fbc4ac5d6d
15dd6d82-2f66-4d40-baeb-64e43bf90a98,USD,true,993a851f-b21b-42e1-a482-302c0e983140
1708100b-d4fd-4eb6-99e1-2bd03e638ae4,USD,true,751bef9f-d1b8-42f0-86c7-e16a55346f68
182bf777-7f12-46b1-b34b-9a1170195c9f,USD,true,f2b95efd-1d27-41f6-b981-e1b0aea0da4e
1862af83-ae50-41a3-bfe6-826271f66c6e,USD,true,565486fb-0aa3-426b-aacb-a9775cd961f6
1a7b63fe-b6de-4557-ad0d-0cb3898bb2eb,USD,true,9d1c5824-116b-430b-8ba4-5213297cc5cf
1b2ffca3-a8f9-4289-9456-03d7f9142857,USD,true,27193378-4674-44b5-8166-6c8133c71285
1b5ab1b5-b08d-4da2-9d48-ba5dc38908a6,USD,true,622a01fa-2efa-44c4-a028-f4963579125c
1bbb0bda-f463-4062-bb79-da7acc0cdc32,USD,true,2dd467fd-9120-4381-9e4d-06dfece576c2
1c5ea577-e1e7-4381-abc1-3cb890786d0d,USD,true,53e0386b-a909-4293-837c-b5fbc4ac5d6d
1c7c5114-977c-4e6c-aea4-4da700958431,USD,true,3ff92724-bae6-4595-a051-b0a2cd312d16
1c96878b-e2ef-4914-a5ab-97b37f283a6d,USD,true,82ad1d85-4f54-4e6b-a132-62be3c3f9512
1cd88369-4fb6-4239-8ba1-afc788790e14,USD,true,5d3fc080-a26d-41e9-8247-1466027f5b5e
