"Guid","CurrencyIsoCode","SBQQ__Active__c","SBQQ__AssetQuoteLineQuantity__c","SBQQ__AssetQuoteLine__c","SBQQ__Quote__c","SBQQ__SubscriptionBasePrice__c","SBQQ__SubscriptionNetTotal__c","SBQQ__SubscriptionQuoteLine__c"
0000242c-1242-41df-a769-6ee98efb3e2f,USD,false,0.0,"#N/A","#N/A",10000.0,6900.0,"#N/A"
0010b961-aca3-4667-a221-f397da8f89d0,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
00150da3-27f8-4d91-bdc7-479f7b7a27c7,USD,false,1.0,"#N/A","#N/A",10000.0,27500.0,"#N/A"
001a2b8d-bd50-41b7-a0fb-23d17a4ad915,USD,false,10.0,"#N/A",22da9edb-38a2-4c88-976d-575691f5b5b0,10000.0,18102.44,"#N/A"
001a8bee-cafa-4743-b833-177be1a1a241,USD,false,1.0,"#N/A","#N/A",10000.0,2000.0,"#N/A"
001dee21-aade-40c1-a202-a6c93fa76ce5,USD,false,1.0,"#N/A","#N/A",10000.0,5400.0,"#N/A"
001e9d8f-d0b3-42d9-92b7-70ae992da679,USD,false,1.0,"#N/A","#N/A",2000.0,4000.0,"#N/A"
0038b68b-44ed-4056-95bb-9fa6418cdfc5,USD,false,10.0,"#N/A","#N/A",2899.0,17918.4,"#N/A"
00411705-4bb7-4493-a0cd-29f8c020addf,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
0047a731-20dc-4133-ac65-9fb2a294b0a5,USD,false,1.0,"#N/A","#N/A",17500.0,5500.0,"#N/A"
004c987c-e032-4c00-8fa2-499a30dd145d,USD,false,1.0,"#N/A","#N/A",10000.0,33000.0,"#N/A"
00662f59-54a6-403f-9218-7ed184aab195,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
00678d9d-831b-40da-a26a-f0482c3f0459,USD,false,1.0,"#N/A","#N/A",41.0,3269.26,"#N/A"
008bceb1-5b0d-440d-ba9b-204733aa6710,USD,false,1.0,"#N/A","#N/A",1533.0,1829.78,"#N/A"
008c4d2a-3951-4243-ba45-5adfc3048ba2,USD,false,1.0,"#N/A","#N/A",17500.0,5500.0,"#N/A"
00988539-75ca-4b4c-a61a-355fff36bc02,USD,false,1.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
009ac294-23fc-4fcd-ae1d-671ce9d39665,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
00a29c55-9d2e-4258-951c-aefbb90be513,USD,false,0.0,"#N/A","#N/A",2000.0,0.0,"#N/A"
00a5e008-0c0a-45c8-b08c-f7bd0a02184b,USD,false,1.0,"#N/A","#N/A",3.33,8041.28,"#N/A"
00a65c13-57c8-4811-8613-20eb12818f4a,USD,false,1.0,"#N/A","#N/A",821.75,9012.05,"#N/A"
00be7f2f-4a0f-4a6a-80f9-caa4aaf0b32b,USD,false,20.0,"#N/A","#N/A",17500.0,84092.66,"#N/A"
00cf77d8-9800-4dd0-9133-8e47de6ffac2,USD,false,1.0,"#N/A","#N/A",17500.0,4295.88,"#N/A"
00d0b2f9-9f5b-412c-bb3f-8f80b59ec3af,USD,false,1.0,"#N/A","#N/A",10000.0,16500.0,"#N/A"
00e78236-1d59-4dd7-9c01-be94e11129c2,USD,false,0.0,"#N/A","#N/A",17500.0,0.0,"#N/A"
00eec9ee-50ce-4ad5-8192-aca89c0a8e47,USD,false,1.0,"#N/A","#N/A",10000.0,111000.0,"#N/A"
00f566fd-9d41-4b73-ab2a-1798c0ae56bd,USD,false,0.0,"#N/A","#N/A",2096.22,0.0,"#N/A"
