"Guid","CurrencyIsoCode","Name","SBQQ__ProcessInputID__c","SBQQ__QuoteId__c","SBQQ__Value__c"
0263d6ec-32f5-4d00-8483-90fdd516be0f,USD,a0Z3h000001ObwJ,0e1c2cf1-69a9-4ab1-8044-82984de04d3e,668cf07b-5e55-40f3-823e-b1fda8c6935e,Yes
04c363ef-d1cb-4c98-b19f-557088a434a4,USD,a0Z3h000001ObYO,386e73f3-5005-4517-ad1a-c56ec8d7b669,642a1354-585d-4084-84cf-1a21af5aafad,"#N/A"
066d1e93-5779-4567-81dc-7ff0d93cb81c,USD,a0Z3h000001ObkP,0e1c2cf1-69a9-4ab1-8044-82984de04d3e,199d9804-2d0f-45bd-b878-4dcb62718cd3,Yes
23eb6dfe-c38a-4ef2-81c4-f0686e56cabb,USD,a0Z3h000001ObWF,71eab359-c2b4-4154-b16b-ec3b6d6a8dce,d7100fe6-ffec-446c-a905-1d32313e4aee,Include Professional Services
27a84a4b-012a-403c-b349-3434b4aac2f6,USD,a0Z3h000001ObP2,e125e8cd-f7a7-4256-b3ee-df8110fc5105,09baed0e-f862-469f-8c95-ba2faf474d9e,End to End Solution
27abcc3c-95ea-4a1f-8779-b80efc257cff,USD,a0Z3h000001ObYz,71eab359-c2b4-4154-b16b-ec3b6d6a8dce,9f34cbfa-cb86-46e5-8a37-1021f8b639b1,Include Professional Services
27d61f92-d2ff-46a3-a425-e084b5cc17ef,USD,a0Z3h000001ObrM,e29f80e6-ba58-428b-843c-973618ae6ea3,be6d1e89-187f-4d14-a2a7-7a6722d288a7,240.0
27fad4bb-f6c9-415a-b202-cc0a3efa875f,USD,a0Z3h000001ObvM,71eab359-c2b4-4154-b16b-ec3b6d6a8dce,d1ad7ff9-8e57-4681-8d40-991553c8c567,Include Professional Services
28009065-e068-4839-b5d1-fdeefe03b8a4,USD,a0Z3h000001ObV7,a8df7b8f-1023-42a0-842e-436eabeeb27c,1609d09c-3414-4a31-8752-dbe7c1f36750,Enterprise
280262e7-19aa-4929-b445-fa1f267f73cb,USD,a0Z3h000001ObZD,0e1c2cf1-69a9-4ab1-8044-82984de04d3e,1593f947-c870-4595-b609-bbd8ba6fbcc0,Yes
281dc15a-55e7-4b18-b10f-4ba287a6b7e7,USD,a0Z3h000001ObaK,e125e8cd-f7a7-4256-b3ee-df8110fc5105,69bd4156-88da-4c53-b21a-94eab74b6273,End to End Solution
2837f877-c532-41a7-a77c-f70213628d47,USD,a0Z3h000001Obdd,0e1c2cf1-69a9-4ab1-8044-82984de04d3e,ea427118-2009-4156-868c-f8adf0066d1d,Yes
2850c6eb-98af-44dc-b730-d014236657dd,USD,a0Z3h000001ObQR,e29f80e6-ba58-428b-843c-973618ae6ea3,0e219808-fc80-463e-8f76-118829800680,300.0
288af016-4537-42ea-9dda-338ca9547d2a,USD,a0Z3h000001Obct,e29f80e6-ba58-428b-843c-973618ae6ea3,7d34636c-af29-420d-9668-b02b3025789a,300.0
28abfde9-72cc-4f4a-9a8b-b96287d2d43c,USD,a0Z3h000001ObMH,e125e8cd-f7a7-4256-b3ee-df8110fc5105,272a664b-c131-45d4-98f0-4de9a87db273,Risk Assessment
28c08d6a-02df-4308-abd0-bf500274a165,GBP,a0Z3h000001ObsT,0e1c2cf1-69a9-4ab1-8044-82984de04d3e,21745d1f-0779-4fd1-bc88-f004fb175fc5,Yes
