"Guid","CurrencyIsoCode","Product_Utility_Key__c","SBQQ__Active__c","SBQQ__Product__c","SBQQ__UnitCost__c"
001354d9-2219-477d-a512-978f0fc6c617,AUD,01t1I000003ApVBQA0AUD,true,062d0221-24ae-4037-9aae-180af606c12e,272.818128355744431218
00433a41-5ee7-456c-9f18-7dc13fa77477,AUD,01t3h0000029BIuAAMAUD,true,be36a53f-c9a1-4d22-b576-93da5600e2df,278.38875789123952616
00b3c6e8-44c8-4127-9c30-e7cd0fe4131f,AUD,"#N/A",true,"#N/A",9432.0
010b75d8-970c-4f85-94ac-b5223b6722ba,GBP,01t3h0000029BIIAA2GBP,true,930e17b5-d169-4ee6-bda9-f5f7730bd76e,10541.035891375976
013fe76e-39fc-4d00-a837-45f1e38540fe,EUR,01t3h0000029BKYAA2EUR,true,e22a9261-ae0e-4270-81d4-32da3293edf9,3576.422891716849
0145808c-805d-4a78-9868-6b757a66f669,USD,01t1I000000JUW1QAOUSD,true,cf258f49-8ca3-4ac9-a1aa-cf053257bd04,138.991922619808288
0171fcd2-4bf2-4f3b-a7a1-8cd9795a5f84,EUR,01t1I0000039KDGQA2EUR,true,5bff035a-8034-4fbe-894c-29779f9619c1,1777.61952772301529756
018752d5-6a5f-4ba3-bb75-7eba657b22fb,GBP,"#N/A",true,"#N/A",6.0269775557862360576
01cf073d-6c7f-42c1-ab2d-374a63039df2,GBP,01t1I000000JBA2QAOGBP,true,"#N/A",129.913495025909853952
01d23141-d0b6-4f1f-91a5-ef58cec03b18,USD,01t1I000000JUVcQAOUSD,true,03526589-f9d3-453d-95aa-8c4637644fbc,138.991922619808288
01db2569-f5cb-4e19-8b16-19d481a0d182,EUR,01t3h0000029BJnAAMEUR,true,9739c704-6569-4443-8a62-b4cdaeee1649,178.82114458584245
02190e8b-8d38-44d5-98f1-ee503590b9e6,EUR,01t1I000004NJglQAGEUR,true,022bc520-5c8c-4ea2-8006-2dca652805ca,16.834805441305737125
023e4772-7362-4ab1-b6e8-9862e3e77fd3,GBP,01t1I000000JhJEQA0GBP,true,20ac81d0-9479-44e1-ba7b-70651b1bf2a4,55.5967690479233152
0267f2f7-653b-404c-906d-1aa961a52220,AUD,01t3h0000029BJcAAMAUD,true,7b73ef0c-375e-409b-a4ce-d5f0a4b50ae4,52.328713889330738
026e84a9-263b-4231-9f07-0e2dc0018a6f,AUD,01t3h0000029BIHAA2AUD,true,de904e11-828a-41cc-a6d8-8c934672ced4,10465.7427778661476
02cfdc3c-4c75-41df-86f6-4ea2fd57b9dd,GBP,01t41000003WWF4AAOGBP,true,"#N/A",6.749663563068369024
02defa67-dc3b-4d95-8613-4b0186bea515,GBP,01t1I000000JUVMQA4GBP,true,73ca077f-346c-4638-8009-cb84b6277461,555.967690479233152
02eb06fe-b977-442c-9b81-f51202b68dbc,GBP,01t1I0000039KDTQA2GBP,true,99e8e1be-ac47-4188-99f2-6e8a73fff59f,8.06809945374852016
031977ea-0365-45e2-9239-31e4f230511c,USD,01t3h0000029BJhAAMUSD,true,1b7a20e4-be5c-470d-9e10-b35f917e5d2b,0.0
031fc5aa-75c4-4605-b90f-4536d6712902,EUR,01t1I000000JUVrQAOEUR,true,71157ff1-4161-490a-b0dd-af17859cd6fe,16505.2908111022342
034f707b-9352-4297-bc8a-7ac75a523577,GBP,01t3h0000029BIkAAMGBP,true,754808a7-5283-4070-ad9d-c8ef800fbb6e,887.2540495998178656
037c6f3d-020e-447e-a5ff-8c3615f694e6,GBP,01t3h0000029BKSAA2GBP,true,30674962-0d68-4dd6-8892-3cf9aa0ab9ba,1117.349804485853456
03a3cc06-3089-40e8-8949-89a17a2a3a48,AUD,01t1I000000Kk2CQASAUD,true,e05029c8-4361-452f-a475-ff84776eb732,0.0
03ae816d-2cd1-4d1e-ae3b-5265c2a0814d,GBP,01t41000003WOAbAAOGBP,true,"#N/A",57.36877522234504
03b949d4-4844-4154-8823-b01a2575fa20,GBP,01t1I000000JVixQAGGBP,true,1ceef319-f65e-4660-8976-91719f77a0c5,155.15575872593308
040531b9-15c4-4898-92f2-10895c87d60f,EUR,01t3h0000029BK2AAMEUR,true,c51fdb21-409e-4c52-bdf3-f599291a5447,180.9669983208725594
041b8cea-3299-49bb-a8cf-07ff1ce6d540,EUR,01t3h0000029BJyAAMEUR,true,f38ec1d0-8568-4b29-a2f1-a4462cedd7a7,1896.9347017666167096
04421389-bfe7-4107-89c7-4e1833997ec4,EUR,01t3h0000029BKGAA2EUR,true,4e1d00ac-6bc1-43b3-bc64-e901584c3952,1287.51224101806564
044d3233-c7d8-4366-9a7c-71470bc49e07,AUD,01t3h0000029BJZAA2AUD,true,cddcfce0-eaa9-426d-86d4-a394e5aa6755,5232.8713889330738
0472a1c5-0aa2-4d05-bec2-882232986187,EUR,01t3h0000029BJ1AAMEUR,true,73ca077f-346c-4638-8009-cb84b6277461,715.2845783433698
